ID           Arch  What
C0726ELUHHC  -     Group: @valentina.park @jackson.weimer @wayne.farry @george.geddes @sahil.chandnani @vishal.sharma @hrusi @eros.espinola @caroline.mwaura
C074DKGVAUF  -     Group: @hrusi @jessica.coen @caroline.mwaura
C074LUG2G2E  -     🔒 internal-comms
C074Q1D0FJ9  -     #values-sessions
C074V1V9EQ2  -     Group: @brigid.chillemi @kg @hrusi
C075EJMMM7G  arch  #starbucks-internal (archived)
C075VP8CS5D  -     Group: @jemima.walker @hrusi @reem.farhat
C076AG3EVSN  -     Group: @reem.farhat @hrusi @jemima.walker @matthew.ferrera
C076FQE7EQP  -     Group: @lucy.wyatt @caroline.mwaura @eros.espinola @hrusi @vishal.sharma @sahil.chandnani
C076KBRPJKU  -     Group: @caroline.mwaura @hrusi @eros.espinola
C076PNGHN3G  -     Group: @lucy.wyatt @caroline.mwaura @eros.espinola @hrusi @vishal.sharma @sahil.chandnani @brigid.chillemi @jemima.walker
C076S959A76  -     Group: @jackson.weimer @vishal.sharma @eros.espinola @hrusi @caroline.mwaura
C076TEJP0DB  -     Group: @lucy.wyatt @caroline.mwaura @eros.espinola @hrusi @vishal.sharma @sahil.chandnani @brigid.chillemi @jemima.walker @jonathan.paterson
C076W843PT5  -     Group: @lucy.wyatt @caroline.mwaura @eros.espinola @hrusi @vishal.sharma
C0775HB2GM8  -     Group: @caroline.mwaura @danielle.wolf @faraz.toor @jessica.coen @hrusi
C0778SAUPPZ  -     Group: @dion.bailey @eros.espinola @hrusi
C07791K9ZA5  -     Group: @lucy.wyatt @caroline.mwaura @eros.espinola @hrusi
C077B6YCJTH  -     #recount-newsletter
C077CJD97S4  -     Group: @jackson.weimer @vishal.sharma @eros.espinola @hrusi
C077JH8NB2B  -     Group: @jackson.weimer @hrusi @valentina.park @dion.bailey
C077K5HH4AC  -     Group: @lucy.wyatt @caroline.mwaura @eros.espinola @hrusi @vishal.sharma @sahil.chandnani @brigid.chillemi
C077TL357U2  -     Group: @jake.schneider @vishal.sharma @hrusi
C077TL3PMEW  -     Group: @jake.schneider @vishal.sharma @hrusi @dion.bailey
C07818UAV9R  -     Group: @jackson.weimer @vishal.sharma @hrusi
C0781JBERN0  -     Group: @jackson.weimer @hrusi @valentina.park
C0783B0JKA9  -     Group: @alexandru.gheorghe @eros.espinola @hrusi
C0789CHLDBQ  -     Group: @caroline.mwaura @hrusi @vishal.sharma
C078AL547CN  arch  #conventions (archived)
